Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Poland,1.2,1.3,1.3,1,1,0.9,1.2,1.1,1,1.1,1.2,1.3,1,1,0.9,1.2,1.4,1.5,1.4,1.1,NA,NA,NA,1.6,2,1.7,1.7,1.9,1.9,2.2,3.3,3.1,3.2,2.9,3.2,3,2.8,NA,NA,2.4,2.2,1.8,1.8,1.5,1.5,1.5,1.5,1.4,1.2,1.1,0.9,1,0.9,1.1,0.8,NA
Portugal,1.1,1.6,1,1.1,1.4,1.1,1,1.6,1,1,0.9,1.4,0.9,0.9,1.5,2,1.9,1.8,1.7,1.7,1.4,1.3,1.4,1.6,1.9,1.5,1.5,1.4,1.5,1.6,1.7,1.7,1.5,1.5,1.5,1.7,1.3,1.2,1.3,1.1,0.9,1.3,1.7,1.6,NA,NA,NA,1,1.4,1,1.2,0.9,1.1,0.9,1,NA
Slovak Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.5,2.4,2.3,2.2,2.6,2.3,2.6,2.3,2.2,2.3,1.9,1.8,1.6,NA,NA,1.2,1.1,1.2,NA,1,1.2,0.8,NA
Slovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,1.7,1.5,1.6,2.4,2,2.5,2.5,1.3,2.2,2.3,2.1,2.3,1,1.5,1,0.8,1.3,1.4,1.8,1.1,0.6,1,0.6,0.5,0.4,0.9,0.7,0.9,0.9,0.6
Spain,0.3,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.3,NA,0.3,0.3,0.4,0.4,0.7,0.6,0.7,1,1.1,1.1,0.9,0.9,1.1,1.2,1.1,1.1,1.2,0.9,0.9,1,0.9,0.9,1,0.9,0.9,0.8,0.8,0.9,0.8,1,1,1,1,1.3,0.9,0.8,0.7,0.8,0.7,0.7,0.7,0.6,0.6,0.6,NA
Sweden,0.6,0.5,0.6,0.8,0.8,0.7,0.9,0.9,0.7,0.9,0.8,1,1.1,1,1.3,1.2,1.3,1.2,1,1.4,1.2,1.4,1.3,1.2,1.1,1.3,1.5,1.2,1.4,1.5,1.3,1.5,1.4,1.3,1.2,1,1.2,1.1,1.1,1.2,1,1,1.2,0.9,1.1,0.9,0.9,1.2,0.8,0.9,1,0.8,0.7,0.8,0.8,1
Switzerland,0.5,0.7,0.9,0.7,0.8,0.6,0.6,0.8,0.8,0.6,0.7,1,0.9,0.7,1,1,0.9,0.9,0.7,0.9,0.9,1.2,1.4,1.4,1,1.4,1,1.2,1.2,1.2,1.5,1.3,1.4,1.6,1.3,0.9,1.1,1.4,0.8,1,0.8,1.1,1,0.7,0.9,0.9,0.6,0.6,0.6,0.7,0.5,0.5,0.5,0.5,NA,NA
United Kingdom,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1.2,1.4,1.4,1.6,1.4,1.5,1.2,1,0.7,0.9,0.9,0.9,0.8,0.8,1,1,1.1,0.7,0.7,0.9,1.2,1,1,0.8,0.7,0.7,0.7,NA,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.2,NA,NA
United States,5.3,5.2,5.5,5.5,5.8,6.2,6.7,7.6,8.2,8.4,9,9.9,10.1,10.3,10.6,10.3,9.3,9.2,9.2,9.8,10.3,10,9.3,8.3,8,7.9,8.5,8.2,8.4,8.7,9.4,9.9,9.4,9.6,9.1,8.4,7.6,7.2,6.5,6.1,5.8,7,6,5.9,5.8,6,6,6,5.7,5.4,5.2,5.1,5.3,5.1,4.9,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
